,Address,Type,Price,Year Built,Energy Rating,Monthly Ownership Costs,List Time,City,Rooms,m2,Currency,Price Change %,Price per. m2,Price Category
43,"Sjællandsgade 110, st.",Ejerlejlighed,2095000,1892,C,1775,29 dage,Aarhus C,2,44.0,DKK,"0,00",47614.0,2000000-2500000
44,"Ceresbyen 31, 7. Dør/lejl. 3",Ejerlejlighed,2699000,2017,A2015,2301,29 dage,Aarhus C,2,53.0,DKK,"0,00",50925.0,2500000-3000000
45,Hørretløkken 194,Rækkehus,2995000,2017,B,2242,32 dage,Mårslet,3,102.0,DKK,"0,00",29363.0,2500000-3000000
46,Kildehaven 164,Rækkehus,2795000,1991,A2010,1991,32 dage,Lystrup,3,105.0,DKK,"0,00",26619.0,2500000-3000000
47,Rolfsgade 41,Villa,5995000,1913,E,4059,32 dage,Viby J,2,93.0,DKK,"0,00",64462.0,4000000<
48,"Daugbjergvej 28, 3. Dør/lejl. 17",Ejerlejlighed,2495000,2007,B,2663,32 dage,Aarhus C,2,65.0,DKK,"0,00",38385.0,2000000-2500000
49,"Kjeld Tolstrups Gade 38, st.",Ejerlejlighed,3895000,2020,A2015,3695,32 dage,Aarhus C,3,84.0,DKK,"0,00",46369.0,3500000-4000000
50,"Tage-Hansens Gade 13, 1. th",Ejerlejlighed,2395000,1945,D,3153,33 dage,Aarhus C,2,63.0,DKK,"0,00",38016.0,2000000-2500000
51,Lergravvænget 42,Villa,2450000,1998,C,2196,33 dage,Trige,3,118.0,DKK,"0,00",20763.0,2000000-2500000
52,"Grøfthøjparken 162, 16. tv Dør/lejl. 204",Ejerlejlighed,1250000,1970,B,2393,35 dage,Viby J,1,67.0,DKK,"0,00",18657.0,1000000-1500000
53,"Jordbrovej 29, 3. Dør/lejl. 2",Ejerlejlighed,1598000,1967,C,2093,36 dage,Aarhus N,1,46.0,DKK,"0,00",34739.0,1500000-2000000
54,"Willemoesgade 41, 1. Dør/lejl. 4",Ejerlejlighed,2095000,1940,E,2240,36 dage,Aarhus N,1,57.0,DKK,"0,00",36754.0,2000000-2500000
55,Næshøjvej 29B,Andelsbolig,1195000,1988,B,2528,36 dage,Harlev J,2,95.0,DKK,"0,00",12579.0,1000000-1500000
56,"Dannebrogsgade 3, 1. Dør/lejl. 5",Ejerlejlighed,2995000,1882,C,3027,36 dage,Aarhus C,2,77.0,DKK,"0,00",38896.0,2500000-3000000
57,"Max Müllers Gade 5, 5. Dør/lejl. tv",Ejerlejlighed,2995000,1930,C,2334,39 dage,Aarhus C,3,62.0,DKK,"0,00",48306.0,2500000-3000000
58,"Vestermarken 9K, Stavtrup",Rækkehus,2950000,2011,A2010,2496,39 dage,Viby J,3,109.0,DKK,"0,00",27064.0,2500000-3000000
59,Blåmunkevej 4,Villa,5998000,1930,D,4991,39 dage,Risskov,5,200.0,DKK,"-3,00",29990.0,4000000<
60,Eckersbergsgade 30K,Ejerlejlighed,2995000,1927,C,2921,39 dage,Aarhus C,2,51.0,DKK,"0,00",58725.0,2500000-3000000
61,Muslingevej 17,Rækkehus,4500000,1978,D,3345,40 dage,Egå,3,140.0,DKK,"0,00",32143.0,4000000<
62,"Valdemars Have 7, 4. mf",Ejerlejlighed,3848000,2019,A2015,2618,41 dage,Aarhus C,3,76.0,DKK,"0,00",50632.0,3500000-4000000
63,"Frederiks Plads 26, 5. Dør/lejl. 3",Ejerlejlighed,3195000,2017,A2015,3052,42 dage,Aarhus C,2,64.0,DKK,"0,00",49922.0,3000000-3500000
64,"Thunøgade 50, st.",Ejerlejlighed,3095000,1895,D,3048,43 dage,Aarhus C,2,50.0,DKK,"0,00",61900.0,3000000-3500000
65,Ketting Parkvej 201,Rækkehus,2998000,2019,A2010,2036,43 dage,Harlev J,3,134.0,DKK,"0,00",22373.0,2500000-3000000
