,Address,Type,Price,Year Built,Energy Rating,Monthly Ownership Costs,List Time,City,Rooms,m2,Currency,Price Change %,Price per. m2,Price Category
183,Lystrupvej 10,Villa,3498000,1960,C,3770,175 dage,Risskov,5,185.0,DKK,"-13,00",18908.0,3000000-3500000
184,Christian X's Vej 181,Villa,3395000,1954,F,3563,175 dage,Højbjerg,2,101.0,DKK,"0,00",33614.0,3000000-3500000
185,"Kantorparken 22, 2. tv",Ejerlejlighed,2398000,1972,C,3339,176 dage,Risskov,2,85.0,DKK,"-4,00",28212.0,2000000-2500000
186,"Østboulevarden 19, st.",Ejerlejlighed,2850000,1904,B,2410,182 dage,Aarhus C,2,57.0,DKK,"0,00",50000.0,2500000-3000000
187,"Åhusene 6, 1. Dør/lejl. 1",Ejerlejlighed,2995000,2013,A2010,3394,182 dage,Aarhus C,2,69.0,DKK,"0,00",43406.0,2500000-3000000
188,Egå Møllevej 132,Villa,2750000,1918,D,1796,183 dage,Egå,4,80.0,DKK,"0,00",34375.0,2500000-3000000
189,"Hørslevvej 131, Hørslevbol",Villa,2198000,1969,E,2112,186 dage,Harlev J,4,133.0,DKK,"0,00",16526.0,2000000-2500000
190,Skovgårdsvænget 36,Rækkehus,3499000,1973,C,2969,186 dage,Tranbjerg J,5,170.0,DKK,"-3,00",20582.0,3000000-3500000
191,"Fjordvej 4, Norsminde",Fritidshus,1975000,1947,N/A,1285,190 dage,Malling,2,49.0,DKK,"0,00",40306.0,1500000-2000000
192,"Sognevejen 2, Spørring",Villa,2998000,1945,E,3008,193 dage,Trige,4,150.0,DKK,"0,00",19987.0,2500000-3000000
193,Grønspættevej 13,Fritidshus,5099000,1978,N/A,3117,194 dage,Egå,3,60.0,DKK,"-4,00",84983.0,4000000<
194,Norsgade 8,Rækkehus,7895000,1875,C,4665,194 dage,Aarhus C,5,122.0,DKK,"0,00",64713.0,4000000<
195,Niels Bohrs Vej 35A,Villa,8000000,2011,A2010,5257,194 dage,Viby J,4,205.0,DKK,"0,00",39024.0,4000000<
196,"Ryvej 32C, Hasle",Ejerlejlighed,898000,1986,D,1668,194 dage,Aarhus V,1,27.0,DKK,"0,00",33259.0,500000-1000000
197,Rosenvangs Allé 30,Villa,7995000,1924,D,5918,196 dage,Viby J,3,171.0,DKK,"0,00",46754.0,4000000<
198,Hyldevej 3,Villa,17250000,1898,B,7789,196 dage,Risskov,5,207.0,DKK,"0,00",83333.0,4000000<
199,"Herningvej 11, 5. TH",Ejerlejlighed,2298000,1932,D,2245,197 dage,Aarhus C,2,54.0,DKK,"-8,00",42556.0,2000000-2500000
200,"Christiansgade 25, 1. th",Ejerlejlighed,6998000,1899,C,6884,197 dage,Aarhus C,6,175.0,DKK,"0,00",39989.0,4000000<
201,Todderupparken 14,Villa,2748000,1970,D,2638,200 dage,Tilst,4,140.0,DKK,"-4,00",19629.0,2500000-3000000
202,Bjørnshøjvej 6,Villa,2595000,1967,C,2368,200 dage,Trige,3,148.0,DKK,"-6,00",17534.0,2500000-3000000
203,"Vestre Ringgade 172, 2. TV",Ejerlejlighed,2149000,1949,D,2913,201 dage,Aarhus C,2,66.0,DKK,"0,00",32561.0,2000000-2500000
204,Badevej 13,Helårsgrund,26000000,N/A,N/A,3802,207 dage,Risskov,,,DKK,"0,00",,4000000<
205,Asmusgårdsvej 38,Villa,7495000,2008,B,4165,207 dage,Lystrup,4,218.0,DKK,"-3,00",34381.0,4000000<
206,"Kantorvænget 11, 2. Dør/lejl. 247",Ejerlejlighed,1698000,1976,D,3138,207 dage,Risskov,1,74.0,DKK,"-9,00",22946.0,1500000-2000000
207,Badevej 15,Helårsgrund,26000000,N/A,N/A,3802,207 dage,Risskov,,,DKK,"0,00",,4000000<
208,"Grøndalsvej 70, 1. Dør/lejl. 3",Ejerlejlighed,1189000,1972,D,1891,210 dage,Viby J,2,51.0,DKK,"-0,00",23314.0,1000000-1500000
209,Gammel Holmevej 22,Villa,6295000,1950,B,3676,211 dage,Højbjerg,3,142.0,DKK,"0,00",44331.0,4000000<
210,Egå Strandvej 4B,Villa,5250000,1966,D,3344,214 dage,Egå,3,122.0,DKK,"0,00",43033.0,4000000<
211,Hovedvejen 50,Villa,1495000,1916,D,2321,215 dage,Hasselager,2,88.0,DKK,"-17,00",16989.0,1000000-1500000
212,Valdemarsgade 55B,Rækkehus,4295000,1880,D,3591,218 dage,Aarhus C,3,75.0,DKK,"0,00",57267.0,4000000<
213,Egebjergvej 2A,Villa,4598000,1972,C,3204,223 dage,Brabrand,3,150.0,DKK,"-7,00",30653.0,4000000<
214,Fyrrevej 15,Villa,7598000,1958,D,3942,223 dage,Egå,2,125.0,DKK,"0,00",60784.0,4000000<
215,Willemoesgade 42,Villa,7650000,1934,C,8023,228 dage,Aarhus N,1,225.0,DKK,"0,00",34000.0,4000000<
216,"Højgårdsparken 34, Spørring",Villa,1998000,1957,D,1638,228 dage,Trige,3,144.0,DKK,"0,00",13875.0,1500000-2000000
217,Jelshøjvej 118,Villa,5600000,1963,D,3384,228 dage,Mårslet,2,135.0,DKK,"0,00",41481.0,4000000<
218,Dybbølvej 20,Villa,6848000,1953,D,3999,235 dage,Risskov,3,150.0,DKK,"-5,00",45653.0,4000000<
219,Byhøjtoften 54,Villa,4345000,2021,A2015,3002,236 dage,Trige,4,169.0,DKK,"0,00",25710.0,4000000<
220,Vestre Havevej 50,Rækkehus,1595000,1961,C,2230,236 dage,Lystrup,1,67.0,DKK,"-13,00",23806.0,1500000-2000000
221,"Olfert Fischers Gade 3, st. Dør/lejl. 4",Ejerlejlighed,1995000,1943,C,2341,238 dage,Aarhus N,2,51.0,DKK,"-2,00",39118.0,1500000-2000000
222,Kærvænget 5,Villa,4795000,1966,D,3722,238 dage,Tranbjerg J,4,189.0,DKK,"-8,00",25370.0,4000000<
223,"Jernaldervej 314, Holmstrup",Villa,3199000,1984,B,2545,239 dage,Aarhus V,3,114.0,DKK,"-8,00",28061.0,3000000-3500000
224,Søndersøvej 37,Villa,4198000,1997,B,3460,239 dage,Risskov,4,118.0,DKK,"-2,00",35576.0,4000000<
225,Carl Jensens Vej 22,Villa,7495000,1935,D,5474,242 dage,Viby J,2,109.0,DKK,"0,00",68761.0,4000000<
226,Enebærvej 68,Villa,5798000,1959,D,4105,243 dage,Risskov,4,164.0,DKK,"-3,00",35354.0,4000000<
227,"Dr. Holsts Vej 48, st. Dør/lejl. 83",Ejerlejlighed,1075000,1970,D,2663,256 dage,Åbyhøj,1,47.0,DKK,"-19,00",22872.0,1000000-1500000
228,Vesttoften 4,Villa,6498000,1966,C,3985,258 dage,Egå,4,172.0,DKK,"-4,00",37779.0,4000000<
229,Grønløkke Allé 36,Villa,3699000,1982,C,3178,259 dage,Tranbjerg J,4,152.0,DKK,"-8,00",24336.0,3500000-4000000
230,Gammel Holmevej 25,Villa,4475000,1952,D,3487,277 dage,Højbjerg,3,157.0,DKK,"0,00",28503.0,4000000<
231,"Sølystgade 44, 3.",Ejerlejlighed,3995000,1897,C,6177,280 dage,Aarhus C,4,110.0,DKK,"-17,00",36318.0,3500000-4000000
232,Gammel Østergårdsvej 7C,Andelsbolig,460000,2005,B,8000,280 dage,Malling,3,107.0,DKK,"-15,00",4299.0,100000-500000
233,Nordre Ringgade 70,Villa,6998000,1900,C,6471,285 dage,Aarhus N,13,328.0,DKK,"-13,00",21335.0,4000000<
234,"Hestagervej 5, Årslev",Rækkehus,1848000,1950,C,1921,295 dage,Brabrand,3,87.0,DKK,"-8,00",21241.0,1500000-2000000
235,Holmkærvej 135,Andelsbolig,1059000,2003,C,6626,302 dage,Trige,2,109.0,DKK,"-4,00",9716.0,1000000-1500000
236,"Høvej 53, Elev",Landejendom,4995000,1909,D,2910,307 dage,Aarhus N,3,153.0,DKK,"-6,00",32647.0,4000000<
237,Kirketoften 6C Dør/lejl. 3,Rækkehus,2495000,1885,B,2950,309 dage,Viby J,2,84.0,DKK,"-4,00",29702.0,2000000-2500000
238,Ranunkelvej 235,Rækkehus,2198000,2003,C,2604,315 dage,Sabro,3,103.0,DKK,"0,00",21340.0,2000000-2500000
239,Bindesbølls Allé 19F,Rækkehus,8498000,1852,C,5007,319 dage,Risskov,3,112.0,DKK,"-8,00",75875.0,4000000<
240,"Nordlandsvej 62D, st. Dør/lejl. 4",Ejerlejlighed,1498000,2006,A2010,2497,320 dage,Risskov,1,48.0,DKK,"-9,00",31208.0,1000000-1500000
241,Elmevej 23,Villa,28000000,1937,E,10284,320 dage,Risskov,4,210.0,DKK,"0,00",133333.0,4000000<
242,Blåbærhaven 47,Villa,5295000,2002,C,4145,322 dage,Lystrup,5,210.0,DKK,"-9,00",25214.0,4000000<
243,Stillingvej 508,Villa,3798000,1898,C,2210,326 dage,Harlev J,4,152.0,DKK,"-5,00",24987.0,3500000-4000000
244,"Frederiks Allé 147, 1.",Ejerlejlighed,1750000,1903,C,2837,336 dage,Aarhus C,2,56.0,DKK,"0,00",31250.0,1500000-2000000
245,"Marselis Boulevard 28, 7. Dør/lejl. 3",Ejerlejlighed,2449000,1959,C,2638,336 dage,Aarhus C,2,78.0,DKK,"0,00",31397.0,2000000-2500000
246,Kirkevænget 68,Villa,4150000,1969,C,3478,377 dage,Tranbjerg J,4,178.0,DKK,"-3,00",23315.0,4000000<
247,"Østergårdsvej 189, Tulstrup",Landejendom,2698000,1900,D,2770,382 dage,Malling,3,143.0,DKK,"0,00",18867.0,2500000-3000000
248,"Skejbybakkevej 34, 36., Skejby",Villa,2998000,1986,C,3385,383 dage,Aarhus N,5,178.0,DKK,"-19,00",16843.0,2500000-3000000
249,Nordre Strandvej 163B,Rækkehus,4150000,1983,C,3409,393 dage,Risskov,3,98.0,DKK,"0,00",42347.0,4000000<
250,Kølsmosevej 32,Villa,3695000,1800,D,3689,406 dage,Hasselager,5,259.0,DKK,"-8,00",14266.0,3500000-4000000
251,"Segaltvej 395, Løgten",Villa,4495000,2016,A2010,2881,410 dage,Skødstrup,4,156.0,DKK,"0,00",28814.0,4000000<
252,"Tandergårdsvej 3, Tulstrup",Landejendom,11800000,1893,D,4893,417 dage,Malling,3,315.0,DKK,"0,00",37460.0,4000000<
253,Elsted Kirkevej 38,Rækkehus,5095000,2008,B,3822,419 dage,Lystrup,4,228.0,DKK,"-7,00",22346.0,4000000<
254,"Brobjerg Parkvej 85, 1. Dør/lejl. 2",Ejerlejlighed,1248000,1976,D,2211,455 dage,Egå,1,54.0,DKK,"-17,00",23111.0,1000000-1500000
255,"Lundingsgade 15, ST. TV",Ejerlejlighed,2995000,1901,C,3246,489 dage,Aarhus C,3,76.0,DKK,"-12,00",39408.0,2500000-3000000
256,"Rønnevænget 31, Ajstrup Strand",Fritidshus,2375000,1984,N/A,1684,512 dage,Malling,1,58.0,DKK,"0,00",40948.0,2000000-2500000
257,Askvænget 1,Fritidshus,2098000,1950,N/A,1639,531 dage,Malling,2,72.0,DKK,"0,00",29139.0,2000000-2500000
258,"Banegårdsgade 16, 2. Dør/lejl. D2",Ejerlejlighed,1895000,1962,C,2167,532 dage,Aarhus C,2,51.0,DKK,"-5,00",37157.0,1500000-2000000
259,Ellebæk Parkvej 120,Rækkehus,2398000,2003,C,2160,571 dage,Lystrup,2,87.0,DKK,"-11,00",27563.0,2000000-2500000
260,Elverdalsvej 87,Villa,4800000,1965,D,3862,638 dage,Højbjerg,2,94.0,DKK,"-8,00",51064.0,4000000<
261,Skæringvej 103,Rækkehus,2895000,1860,B,3131,809 dage,Lystrup,2,89.0,DKK,"-3,00",32528.0,2500000-3000000
262,Skelbækvej 5,Rækkehus,3898000,1959,E,3857,868 dage,Risskov,3,100.0,DKK,"-13,00",38980.0,3500000-4000000
